ma_no	division	recipient	sender	title	detail	date	read
125	1	22	37	지원합니다.	열정과 체력이 준비된 인재입니다. / 이름 : 주단태 / 성별 : 남 / 최종학력 : 대학교 졸업 / 이메일 : cantae@nate.com	2021-09-08	1
126	1	17	48	지원합니다.	맡겨만 주세요 최선을 다하겠습니다. / 이름 : 채형원 / 성별 : 남 / 최종학력 : 대학원 졸업 / 이메일 : hyeongwon@nate.com	2021-09-09	1
127	2	38	27	안녕하세요. 솔솔김밥입니다.	안녕하세요, 김영대님 솔솔김밥 채용 담당자입니다. 솔솔김밥 모집에 지원해 주셔서 진심으로 감사드립니다.	2021-09-09	0
128	2	62	26	[비온후풍경] 축하드립니다.	안녕하세요 비온후풍경입니다. 우선 오늘 면접 참석해주셔서 감사합니다. 면접 합격하시어 채용 진행하고자 하는데 44448부터 근무 가능하신지 여쭤보고자 연락 드렸어요!	2021-09-09	0
129	1	3	47	지원합니다.	장기근무 가능한 성실한 인재입니다. / 이름 : 전예슬 / 성별 : 여 / 최종학력 : 대학교 재학 / 이메일 : yeseul@empal.com	2021-09-10	0
130	2	15	17	[서브웨이] 합격결과 확인 바람.	불합격되셨습니다. 나중에 좋은 자리 나오면 지원부탁드립니다.	2021-09-10	0
131	2	36	27	안녕하세요. 명동하머니국수입니다.	안녕하세요, 김영대님 명동하머니국수 채용 담당자입니다. 명동하머니국수 모집에 지원해 주셔서 진심으로 감사드립니다.	2021-09-10	0
132	2	69	21	맥주창고입니다.	안녕하세요 맥주창고입니다. 우선 오늘 면접 참석해주셔서 감사합니다. 면접 합격하시어 채용 진행하고자 하는데 44449부터 근무 가능하신지 여쭤보고자 연락 드렸어요!	2021-09-10	0
133	2	111	6	노벰버입니다.	안녕하십니까? 노벰버입니다. 먼저 노벰버에 관심가져주시고 지원해주셔서 감사드리며 면접결과를 안내드립니다. 이번 모집에서 귀하를 모실 수 없게 되었음을 안타까운 마음으로 전달드립니다. 귀하의 앞날에 행원이 가득하시길 바라며 더 좋은 모습으로 만나 뵐 수 있길 기대하겠습니다. 감사합니다. -노벰버 드림-	2021-09-10	0
134	1	3	63	지원합니다.	장기근무 가능한 성실한 인재입니다. / 이름 : 전예슬 / 성별 : 여 / 최종학력 : 대학교 재학 / 이메일 : yeseul@empal.com	2021-09-12	0
135	2	58	1	[어반정글] 축하드립니다.	안녕하세요, 어반정글입니다. 어반정글일원이 되신 것을 축하드립니다. 어반정글 일정 및 참고 사항은 아래와 같습니다.	2021-09-12	1
136	1	23	26	지원합니다.	열정과 체력이 준비된 인재입니다. / 이름 : 주단태 / 성별 : 남 / 최종학력 : 대학교 졸업 / 이메일 : cantae@nate.com	2021-09-13	1
137	2	110	15	노벰버입니다.	안녕하십니까? 노벰버입니다. 먼저 노벰버에 관심가져주시고 지원해주셔서 감사드리며 면접결과를 안내드립니다. 이번 모집에서 귀하를 모실 수 없게 되었음을 안타까운 마음으로 전달드립니다. 귀하의 앞날에 행원이 가득하시길 바라며 더 좋은 모습으로 만나 뵐 수 있길 기대하겠습니다. 감사합니다. -노벰버 드림-	2021-09-14	1
138	2	60	16	[우유부단] 축하드립니다.	안녕하세요, 우유부단입니다. 우유부단일원이 되신 것을 축하드립니다. 우유부단 일정 및 참고 사항은 아래와 같습니다.	2021-09-14	1
139	2	68	16	프리메라입니다.	안녕하세요 프리메라입니다. 우선 오늘 면접 참석해주셔서 감사합니다. 면접 합격하시어 채용 진행하고자 하는데 44454부터 근무 가능하신지 여쭤보고자 연락 드렸어요!	2021-09-15	0
140	1	1	41	지원합니다.	넘치는 열정으로 누구보다 잘할 자신있습니다. / 이름 : 강솔 / 성별 : 여 / 최종학력 : 대학교 졸업 / 이메일 : sol123@naver.com	2021-09-16	1
141	1	12	52	지원합니다.	최선을 다하며 즐겁게 알바하겠습니다. / 이름 : 전형우 / 성별 : 여 / 최종학력 : 대학교 졸업 / 이메일 : hyeongu@yahoo.com	2021-09-16	0
142	2	19	7	에버랜드입니다.	내일 면접이 예정되어 있습니다. 면접일사 : 7/15일상세내용은 홈페이지 참고하시기 바랍니다.	2021-09-16	1
143	2	63	25	[플랜컴] 축하드립니다.	안녕하세요 플랜컴입니다. 우선 오늘 면접 참석해주셔서 감사합니다. 면접 합격하시어 채용 진행하고자 하는데 44456부터 근무 가능하신지 여쭤보고자 연락 드렸어요!	2021-09-17	0
144	2	112	20	베스트플라워입니다.	안녕하십니까? 베스트플라워입니다. 먼저 베스트플라워에 관심가져주시고 지원해주셔서 감사드리며 면접결과를 안내드립니다. 이번 모집에서 귀하를 모실 수 없게 되었음을 안타까운 마음으로 전달드립니다. 귀하의 앞날에 행원이 가득하시길 바라며 더 좋은 모습으로 만나 뵐 수 있길 기대하겠습니다. 감사합니다. -베스트플라워 드림-	2021-09-18	1
145	2	25	8	안녕하십니까, 핫트랙스 채용팀입니다.	합격를 축하드리며, 핫트랙스에 지원주셔서 감사드립니다.	2021-09-19	1
146	2	7	21	[네네치킨] 축하합니다.	주단태님 안녕하세요. 네네치킨입니다. 면접이 완료되었으며 채용을 검토할 예정입니다. 최종결과는 가까운 시일안에 연락드리도록 하겠습니다. 감사합니다.	2021-09-20	0
147	2	72	21	한잔입니다.	안녕하세요, 한잔입니다. 한잔일원이 되신 것을 축하드립니다. 한잔 일정 및 참고 사항은 아래와 같습니다.	2021-09-20	0
148	2	40	12	신안촌입니다.	[신안촌]안녕하세요, 신안촌입니다. 합격을 축하드립니다:) 출근 안내를 아래와 같이 드립니다.  일시 : 7/14  시간 : 오전 7시	2021-09-21	1
149	2	6	7	나이키입니다.	조예범님 안녕하세요. 나이키입니다. 면접이 완료되었으며 채용을 검토할 예정입니다. 최종결과는 가까운 시일안에 연락드리도록 하겠습니다. 감사합니다.	2021-09-21	0
150	2	14	1	안녕하세요. 버거킹입니다.	강솔님 안녕하세요. 버거킹입니다. 면접이 완료되었으며 채용을 검토할 예정입니다. 최종결과는 가까운 시일안에 연락드리도록 하겠습니다. 감사합니다.	2021-09-22	1
151	2	67	2	케이뮤지컬컴퍼니입니다.	안녕하세요 케이뮤지컬컴퍼니입니다. 우선 오늘 면접 참석해주셔서 감사합니다. 면접 합격하시어 채용 진행하고자 하는데 근무 가능하신지 여쭤보고자 연락 드렸어요!	2021-09-22	1
152	2	26	5	안녕하십니까, 집밥보정골 채용팀입니다.	안녕하세요, 서병주님 집밥보정골 채용 담당자입니다. 집밥보정골 모집에 지원해 주셔서 진심으로 감사드립니다.	2021-09-23	1
153	1	4	9	지원합니다.	언제나 일할 준비가 되있습니다. / 이름 : 서지호 / 성별 : 여 / 최종학력 : 대학교 재학 / 이메일 : jiho@nate.com	2021-09-24	1
154	1	25	42	지원합니다.	다양한 아르바이트 경험으로 다져진 실력! / 이름 : 주석훈 / 성별 : 여 / 최종학력 : 고등학교 졸업 / 이메일 : seokhun@hanmail.com	2021-09-24	1
155	1	29	42	지원합니다.	정직, 근면, 성실의 아이콘입니다. / 이름 : 천서진 / 성별 : 여 / 최종학력 : 대학원 재학 / 이메일 : seojin@yahoo.com	2021-09-24	0
156	2	70	6	Jbar(제이)입니다.	안녕하세요 Jbar(제이)입니다. 우선 오늘 면접 참석해주셔서 감사합니다. 면접 합격하시어 채용 진행하고자 하는데 근무 가능하신지 여쭤보고자 연락 드렸어요!	2021-09-25	1
157	2	48	20	안녕하세요, 썬어게인카페입니다.	안녕하세요, 썬어게인카페입니다. 썬어게인카페 일원이 되신 것을 축하드립니다. 썬어게인카페 일정 및 참고 사항은 아래와 같습니다.	2021-09-26	0
158	2	110	26	에어라인입니다.	안녕하십니까? 에어라인입니다. 먼저 에어라인에 관심가져주시고 지원해주셔서 감사드리며 면접결과를 안내드립니다. 이번 모집에서 귀하를 모실 수 없게 되었음을 안타까운 마음으로 전달드립니다. 귀하의 앞날에 행원이 가득하시길 바라며 더 좋은 모습으로 만나 뵐 수 있길 기대하겠습니다. 감사합니다. -에어라인 드림-	2021-09-26	0
159	2	5	1	안녕하세요. 갤러리아 백화점입니다.	강솔님 안녕하세요. 갤러리아 백화점 면접결과를 안내 드립니다.면접결과는 "합격"으로 금일 중 홈페이지접속하시어 교육 안내사항을 확인해 주시기 바랍니다. 입사를 축하드리며, 세계인의 아침을 여는 갤러리아 백화점에서 여러분의 역량을 펼쳐나가시기 바랍니다. ※교육안내사항 확인(URL 접속-지원서작성-전형상태조회)	2021-09-27	1
160	2	108	12	미골드클루입니다.	안녕하십니까? 미골드클루입니다. 먼저 미골드클루에 관심가져주시고 지원해주셔서 감사드리며 면접결과를 안내드립니다. 이번 모집에서 귀하를 모실 수 없게 되었음을 안타까운 마음으로 전달드립니다. 귀하의 앞날에 행원이 가득하시길 바라며 더 좋은 모습으로 만나 뵐 수 있길 기대하겠습니다. 감사합니다. -미골드클루 드림-	2021-09-27	0
161	2	1	13	안녕하세요. CGV입니다.	이근태님 안녕하세요. CGV입니다. 면접이 완료되었으며 채용을 검토할 예정입니다. 최종결과는 가까운 시일안에 연락드리도록 하겠습니다. 감사합니다.	2021-09-28	1
162	2	28	5	안녕하십니까, 칠백식당 채용팀입니다.	안녕하세요, 서병주님 칠백식당 채용 담당자입니다. 칠백식당 모집에 지원해 주셔서 진심으로 감사드립니다.	2021-09-28	0
163	2	3	5	축하드립니다.	서병주님 안녕하세요. 스타벅스입니다. 면접이 완료되었으며 채용을 검토할 예정입니다. 최종결과는 가까운 시일안에 연락드리도록 하겠습니다. 감사합니다.	2021-09-30	1
164	2	59	18	[팥고방] 축하드립니다.	안녕하세요, 팥고방입니다. 팥고방일원이 되신 것을 축하드립니다. 팥고방 일정 및 참고 사항은 아래와 같습니다.	2021-09-30	1
165	2	64	9	[코알라] 축하드립니다.	안녕하세요 코알라입니다. 우선 오늘 면접 참석해주셔서 감사합니다. 면접 합격하시어 채용 진행하고자 하는데  근무 가능하신지 여쭤보고자 연락 드렸어요!	2021-09-30	0
166	2	71	13	조커입니다.	[조커]안녕하세요, 조커입니다. 합격을 축하드립니다:) 출근 안내를 아래와 같이 드립니다. 시간 : 오전 7시	2021-09-30	0
167	1	9	94	지원합니다.	맡겨만 주세요 최선을 다하겠습니다. / 이름 : 고영창 / 성별 : 남 / 최종학력 : 고등학교 졸업 / 이메일 : yeongchang@korea.com	2021-10-01	0
168	2	47	23	안녕하세요. 정인입니다.	[정인]안녕하세요, 정인입니다. 합격을 축하드립니다:) 출근 안내를 아래와 같이 드립니다.    시간 : 오전 7시	2021-10-01	1
169	2	104	23	[다솜약국]	안녕하십니까? 다솜약국입니다. 먼저 다솜약국에 관심가져주시고 지원해주셔서 감사드리며 면접결과를 안내드립니다. 이번 모집에서 귀하를 모실 수 없게 되었음을 안타까운 마음으로 전달드립니다. 귀하의 앞날에 행원이 가득하시길 바라며 더 좋은 모습으로 만나 뵐 수 있길 기대하겠습니다. 감사합니다. -다솜약국 드림-	2021-10-01	1
170	2	105	29	테이블가든입니다.	안녕하십니까? 테이블가든입니다. 먼저 테이블가든에 관심가져주시고 지원해주셔서 감사드리며 면접결과를 안내드립니다. 이번 모집에서 귀하를 모실 수 없게 되었음을 안타까운 마음으로 전달드립니다. 귀하의 앞날에 행원이 가득하시길 바라며 더 좋은 모습으로 만나 뵐 수 있길 기대하겠습니다. 감사합니다. -테이블가든 드림-	2021-10-01	0
171	2	107	4	별난다육입니다.	안녕하십니까? 별난다육입니다. 먼저 별난다육에 관심가져주시고 지원해주셔서 감사드리며 면접결과를 안내드립니다. 이번 모집에서 귀하를 모실 수 없게 되었음을 안타까운 마음으로 전달드립니다. 귀하의 앞날에 행원이 가득하시길 바라며 더 좋은 모습으로 만나 뵐 수 있길 기대하겠습니다. 감사합니다. -별난다육 드림-	2021-10-01	0
172	1	7	75	지원합니다.	친절함으로 똘똘뭉친 센스있는 알바생입니다. / 이름 : 조예범 / 성별 : 남 / 최종학력 : 대학교 재학 / 이메일 : yebeom@yahoo.com	2021-10-02	1
173	2	48	15	안녕하세요. 피맥하우스입니다.	[피맥하우스]안녕하세요, 피맥하우스입니다. 합격을 축하드립니다:) 출근 안내를 아래와 같이 드립니다.  시간 : 오전 7시	2021-10-02	1
174	2	51	4	드래곤시티호텔입니다.	[드래곤시티호텔]안녕하세요, 드래곤시티호텔입니다. 합격을 축하드립니다:) 출근 안내를 아래와 같이 드립니다.  시간 : 오전 7시	2021-10-02	0
175	2	52	27	라벤더코지풀빌라입니다.	[라벤더코지풀빌라]안녕하세요, 라벤더코지풀빌라입니다. 합격을 축하드립니다:) 출근 안내를 아래와 같이 드립니다.   시간 : 오전 7시	2021-10-02	0
176	2	55	27	[블랙다이아] 축하드립니다.	[블랙다이아]안녕하세요, 블랙다이아입니다. 합격을 축하드립니다:) 출근 안내를 아래와 같이 드립니다.    시간 : 오전 7시	2021-10-02	1
177	2	57	8	[데이리후르츠] 축하드립니다.	안녕하세요, 데이리후르츠입니다. 데이리후르츠일원이 되신 것을 축하드립니다. 데이리후르츠 일정 및 참고 사항은 아래와 같습니다.	2021-10-02	1
178	1	9	101	지원합니다.	맡겨만 주세요 최선을 다하겠습니다. / 이름 : 고영창 / 성별 : 남 / 최종학력 : 고등학교 졸업 / 이메일 : yeongchang@korea.com	2021-10-03	1
179	1	15	100	지원합니다.	최고를 위해 늘 성실하게 일하는 인재입니다. / 이름 : 이민혁 / 성별 : 남 / 최종학력 : 고등학교 졸업 / 이메일 : minhyeok@gmail.com	2021-10-03	1
180	2	45	14	안녕하세요. 여유로운정원입니다.	안녕하세요, 손현우님 여유로운정원 채용 담당자입니다. 여유로운정원 모집에 지원해 주셔서 진심으로 감사드립니다.	2021-10-03	0
181	2	46	24	안녕하세요. 벨라디저트카페입니다.	안녕하세요, 진예은님 벨라디저트카페 채용 담당자입니다. 벨라디저트카페 모집에 지원해 주셔서 진심으로 감사드립니다.	2021-10-03	1
182	2	49	12	썬어게인카페입니다.	[썬어게인카페]안녕하세요, 썬어게인카페입니다. 합격을 축하드립니다:) 출근 안내를 아래와 같이 드립니다.   시간 : 오전 7시	2021-10-03	0
183	2	50	25	메르벨르펜션입니다.	[메르벨르펜션]안녕하세요, 메르벨르펜션입니다. 합격을 축하드립니다:) 출근 안내를 아래와 같이 드립니다.   시간 : 오전 7시	2021-10-03	1
184	2	53	8	장충마트입니다.	[장충마트]안녕하세요, 장충마트입니다. 합격을 축하드립니다:) 출근 안내를 아래와 같이 드립니다.  시간 : 오전 7시	2021-10-03	0
185	2	54	16	[푸른숲] 축하드립니다.	[푸른숲]안녕하세요, 푸른숲입니다. 합격을 축하드립니다:) 출근 안내를 아래와 같이 드립니다.   시간 : 오전 7시	2021-10-03	0
186	2	56	9	[에스마트] 축하드립니다.	안녕하세요, 에스마트입니다. 에스마트일원이 되신 것을 축하드립니다. 에스마트 일정 및 참고 사항은 아래와 같습니다.	2021-10-03	0
187	2	106	4	엠입니다.	안녕하십니까? 엠입니다. 먼저 엠에 관심가져주시고 지원해주셔서 감사드리며 면접결과를 안내드립니다. 이번 모집에서 귀하를 모실 수 없게 되었음을 안타까운 마음으로 전달드립니다. 귀하의 앞날에 행원이 가득하시길 바라며 더 좋은 모습으로 만나 뵐 수 있길 기대하겠습니다. 감사합니다. -엠 드림-	2021-10-03	1
188	2	44	18	안녕하세요. 자르뎅데자르입니다.	안녕하세요, 이주헌님 자르뎅데자르 채용 담당자입니다. 자르뎅데자르 모집에 지원해 주셔서 진심으로 감사드립니다.	2021-10-04	0
