번호	일시	회원번호	출금계좌	입금계좌	카드번호	상품번호	 금액 	결제여부	할부여부
333	2021-09-14 21:06	21	929-4063-3868-55	778-5257-5904-20			 19,000 	1	1
334	2021-09-14 22:40	15			5430-8674-0726-5693	2	 2,400 	1	0
335	2021-09-14 22:45	15			5430-8674-0726-5693	87	 3,087 	4	3
336	2021-09-14 23:56	36			4316-7505-0711-0172	45	 2,496,614 	0	12
337	2021-09-15 4:14	33	726-2721-8040-22	366-8225-8987-92			 209,000 	1	1
338	2021-09-15 6:05	37			4304-5759-0122-0163	62	 111,204 	0	5
339	2021-09-15 11:19	36			4316-7505-0711-0172	8	 1,500 	1	0
340	2021-09-15 14:18	8			4459-8601-5503-0106	14	 15,120 	0	0
341	2021-09-15 15:52	35			4139-9464-9242-9270	8	 1,500 	1	0
342	2021-09-15 16:26	10	393-1754-8216-13	722-6629-4735-98			 22,200 	1	1
343	2021-09-15 18:23	7			5491-0000-7419-8591	39	 1,518,356 	0	0
344	2021-09-15 19:44	29			4438-1413-1616-2357	53	 86,127 	0	7
345	2021-09-15 20:33	11			4289-1200-3178-0611	50	 10,490 	0	4
346	2021-09-15 21:30	13	925-1034-4109-99	974-7704-9329-82			 334,000 	1	1
347	2021-09-16 1:15	30			6238-1630-4153-1561	14	 15,450 	0	1
348	2021-09-16 4:44	7	385-9060-3453-33	364-4162-6207-46			 464,000 	1	1
349	2021-09-16 7:04	15	357-8036-3099-97	727-4840-1873-72			 156,000 	1	1
350	2021-09-16 7:36	22			6162-5392-8943-4871	64	 19,900 	0	0
351	2021-09-16 10:03	5	722-6629-4735-98	742-3245-6777-81			 303,000 	1	1
352	2021-09-16 11:53	35			4139-9464-9242-9270	50	 10,000 	0	0
353	2021-09-16 14:28	26			6298-0294-4920-2348	27	 7,399,442 	0	0
354	2021-09-16 18:03	10	393-1754-8216-13	936-2290-8624-49			 1,790 	1	1
355	2021-09-16 20:20	15			5430-8674-0726-5693	65	 3,357,000 	0	0
356	2021-09-16 20:53	4			6133-6574-4571-8528	69	 925,071 	0	12
357	2021-09-16 21:57	4	332-6011-8447-16	993-1926-9908-71			 308,000 	1	1
358	2021-09-16 23:10	21	929-4063-3868-55	978-9587-6101-14			 2,000 	1	1
359	2021-09-17 1:03	5			4554-2948-2495-4347	20	 9,616 	0	1
360	2021-09-17 6:33	35			4139-9464-9242-9270	18	 23,129 	0	0
361	2021-09-17 7:35	1			4274-5543-1470-3247	3	 6,442 	0	2
362	2021-09-17 8:40	1			4274-5543-1470-3247	22	 31,470 	0	2
363	2021-09-17 10:25	10			4228-9702-4276-8736	38	 497,681 	0	3
364	2021-09-17 11:19	14			5411-7005-9496-8736	46	 7,136,559 	0	2
365	2021-09-17 14:16	17	973-6867-5147-23	742-3245-6777-81			 483,000 	1	1
366	2021-09-17 15:20	3			4555-3336-7116-6819	14	 15,120 	0	0
367	2021-09-17 22:27	21			6112-1864-7089-7656	19	 26,651 	0	4
368	2021-09-17 23:03	1			4274-5543-1470-3247	6	 11,000 	0	0
369	2021-09-17 23:25	1			4274-5543-1470-3247	79	 3,517,920 	0	0
370	2021-09-18 3:30	21			4697-4363-1410-5878	68	 19,931,000 	0	12
371	2021-09-18 3:52	16	796-5190-4893-31	974-7704-9329-82			 170,000 	1	1
372	2021-09-18 9:08	7	385-9060-3453-33	936-2290-8624-49			 330,000 	1	1
373	2021-09-18 13:02	34	993-1926-9908-71	778-5257-5904-20			 475,000 	1	1
374	2021-09-18 18:40	15			5430-8674-0726-5693	23	 154,967 	0	3
375	2021-09-18 23:18	3	341-4252-6227-25	364-4162-6207-46			 59,000 	1	1
376	2021-09-19 8:06	24	997-5447-9620-11	722-6629-4735-98			 291,000 	1	1
377	2021-09-19 11:10	10			4508-9202-2526-8942	83	 1,563,010 	0	2
378	2021-09-19 11:57	5			4554-2948-2495-4347	79	 3,647,867 	1	12
379	2021-09-19 12:39	4			6133-6574-4571-8528	54	 51,450 	0	7
380	2021-09-19 21:14	14			5411-7005-9496-8736	2	 2,470 	4	3
381	2021-09-20 5:07	14			4894-8226-6996-5561	50	 10,390 	0	3
382	2021-09-20 16:55	21	929-4063-3868-55	988-6703-4692-47			 277,000 	1	1
383	2021-09-20 23:31	8			5417-8752-9361-8220	9	 34,356 	0	2
384	2021-09-21 10:17	13			5477-9684-2872-1952	23	 154,967 	0	12
385	2021-09-21 14:07	32			4285-6430-7448-7615	50	 10,390 	0	1
386	2021-09-21 15:56	2			6235-7618-8935-4397	13	 35,119 	11	12
387	2021-09-21 19:12	10			4508-9202-2526-8942	10	 30,316 	0	3
388	2021-09-21 21:51	39	770-9014-8303-76	978-9587-6101-14			 423,000 	1	1
389	2021-09-21 23:23	5			6257-9724-3237-6002	50	 10,490 	0	5
390	2021-09-22 1:51	14			4894-8226-6996-5561	19	 26,910 	0	1
391	2021-09-22 6:01	39	770-9014-8303-76	726-2721-8040-22			 399,000 	1	1
392	2021-09-22 6:52	20	756-8530-4608-45	722-6629-4735-98			 207,000 	1	1
393	2021-09-22 7:41	12	768-8913-5359-57	974-7704-9329-82			 223,000 	1	1
394	2021-09-22 9:29	12	768-8913-5359-57	727-4840-1873-72			 294,000 	1	1
395	2021-09-22 10:57	11	334-3767-4066-78	997-5447-9620-11			 309,000 	1	1
396	2021-09-22 15:28	14	345-4597-6745-54	722-6629-4735-98			 195,000 	1	1
397	2021-09-22 17:38	5			4554-2948-2495-4347	8	 1,500 	0	0
398	2021-09-22 19:29	6	978-9587-6101-14	385-9060-3453-33			 109,000 	1	1
399	2021-09-22 19:47	39	770-9014-8303-76	999-5457-3430-92			 499,000 	1	1
400	2021-09-23 1:01	8			4459-8601-5503-0106	42	 2,660,460 	0	2
401	2021-09-23 9:39	5			6257-9724-3237-6002	16	 103,851 	0	2
402	2021-09-23 16:07	5	722-6629-4735-98	988-6703-4692-47			 303,000 	1	1
403	2021-09-24 1:37	5	722-6629-4735-98	912-5362-8400-40			 475,000 	1	1
404	2021-09-24 2:39	7	385-9060-3453-33	756-5480-7149-24			 85,000 	1	1
405	2021-09-24 4:25	11			4501-1521-4471-7041	62	 112,062 	0	3
406	2021-09-24 6:15	15	357-8036-3099-97	366-6150-8195-42			 18,000 	1	1
407	2021-09-24 6:21	13			5477-9684-2872-1952	11	 37,970 	0	3
408	2021-09-24 8:01	24			6167-4383-5951-5692	50	 10,290 	0	2
409	2021-09-24 14:37	29			4438-1413-1616-2357	28	 29,841 	0	3
410	2021-09-24 15:36	3			4555-3336-7116-6819	73	 36,656 	0	5
411	2021-09-24 16:11	19			4277-5792-7574-8124	6	 11,000 	0	0
412	2021-09-24 16:51	4	332-6011-8447-16	770-9014-8303-76			 420,000 	1	1
413	2021-09-24 17:21	10			4228-9702-4276-8736	81	 2,898,810 	0	1
414	2021-09-24 22:56	10			4228-9702-4276-8736	10	 30,027 	0	2
415	2021-09-25 6:54	10			4508-9202-2526-8942	42	 2,640,567 	0	1
416	2021-09-25 10:07	3			4555-3336-7116-6819	9	 33,264 	0	0
417	2021-09-25 13:34	32			4124-1993-4558-0867	65	 3,487,923 	0	4
418	2021-09-25 17:51	17	973-6867-5147-23	727-4840-1873-72			 234,000 	1	1
419	2021-09-26 4:33	30			6238-1630-4153-1561	64	 19,900 	0	0
420	2021-09-26 4:44	8			5417-8752-9361-8220	9	 33,066 	0	0
421	2021-09-26 6:06	7			5492-7845-3998-3945	35	 7,584,700 	0	3
422	2021-09-26 6:14	3			4656-6924-7890-5972	25	 1,300,464 	0	12
423	2021-09-26 7:14	38			4278-6283-9998-2400	85	 3,000 	1	0
424	2021-09-26 7:36	10			4228-9702-4276-8736	54	 50,000 	0	0
425	2021-09-26 13:42	11	334-3767-4066-78	925-1034-4109-99			 32,000 	1	1
426	2021-09-26 14:48	33	726-2721-8040-22	999-5457-3430-92			 253,000 	1	1
427	2021-09-27 8:39	27			4528-5002-5615-3481	24	 1,101,300 	0	0
428	2021-09-27 11:42	10	393-1754-8216-13	973-6867-5147-23			 1,000 	1	1
429	2021-09-27 13:50	10	393-1754-8216-13	385-9060-3453-33			 362,000 	1	1
430	2021-09-27 14:15	34			6198-0942-6914-9784	7	 12,348 	0	4
431	2021-09-27 18:04	37	999-5457-3430-92	757-6292-9320-88			 59,000 	1	1
432	2021-09-27 19:04	31			5488-3836-3430-7070	19	 23,753 	0	3
433	2021-09-27 21:56	5			4554-2948-2495-4347	22	 31,170 	0	3
434	2021-09-28 2:58	32			4124-1993-4558-0867	41	 1,879,912 	0	0
435	2021-09-28 12:52	18	361-6239-6771-74	366-6150-8195-42			 273,000 	1	1
436	2021-09-28 14:17	18	361-6239-6771-74	770-9014-8303-76			 94,000 	1	1
437	2021-09-28 14:42	12			4915-0536-1544-4711	21	 19,551 	0	2
438	2021-09-28 16:36	28			4897-8159-1822-7180	9	 33,330 	0	0
439	2021-09-28 16:57	7			5492-7845-3998-3945	88	 1,039 	11	10
440	2021-09-28 18:50	14			5411-7005-9496-8736	50	 10,290 	0	2
441	2021-09-28 21:57	11	334-3767-4066-78	978-9587-6101-14			 295,000 	1	1
442	2021-09-29 5:32	39			4405-7274-3586-7453	34	 77,925 	0	1
443	2021-09-29 6:49	29	912-5362-8400-40	770-9014-8303-76			 22,000 	1	1
444	2021-09-29 9:50	17	973-6867-5147-23	988-6703-4692-47			 465,000 	1	1
445	2021-09-29 20:21	22			6162-5392-8943-4871	10	 28,900 	0	0
446	2021-09-30 1:17	39			5449-1026-3931-0534	54	 50,000 	0	0
447	2021-09-30 1:18	30	778-5257-5904-20	757-6292-9320-88			 437,000 	1	1
448	2021-09-30 1:52	6	978-9587-6101-14	974-7704-9329-82			 478,000 	1	1
449	2021-09-30 9:22	8			5417-8752-9361-8220	77	 1,245,761 	0	4
450	2021-09-30 12:36	29	912-5362-8400-40	393-1754-8216-13			 166,000 	1	1
451	2021-09-30 16:31	7			5491-0000-7419-8591	18	 23,841 	0	3
452	2021-09-30 20:32	13			5446-9530-1580-4616	47	 67,400 	0	4
453	2021-09-30 20:49	7	385-9060-3453-33	978-9587-6101-14			 461,000 	1	1
454	2021-09-30 21:05	35			4139-9464-9242-9270	38	 479,000 	0	0
455	2021-09-30 23:34	23	742-3245-6777-81	756-5480-7149-24			 264,000 	1	1
456	2021-10-01 4:43	5			4554-2948-2495-4347	56	 139,016 	0	4
457	2021-10-01 5:24	15			5430-8674-0726-5693	54	 51,450 	0	1
458	2021-10-01 6:06	3			4656-6924-7890-5972	50	 10,000 	0	0
459	2021-10-01 8:24	13			5477-9684-2872-1952	28	 29,841 	0	5
460	2021-10-01 9:14	4	332-6011-8447-16	974-7704-9329-82			 206,000 	1	1
461	2021-10-02 1:23	39	770-9014-8303-76	393-1754-8216-13			 307,000 	1	1
462	2021-10-02 4:49	31			5488-3836-3430-7070	12	 41,911 	0	2
463	2021-10-02 5:07	20	756-8530-4608-45	929-4063-3868-55			 399,000 	1	1
464	2021-10-02 11:07	4			6133-6574-4571-8528	81	 2,870,910 	2	12
465	2021-10-02 21:39	22			6162-5392-8943-4871	40	 1,251,693 	0	0
466	2021-10-03 3:42	8	757-6292-9320-88	726-2721-8040-22			 5,900 	1	1
467	2021-10-03 4:17	32	366-8225-8987-92	999-5457-3430-92			 78,000 	1	1
468	2021-10-04 9:22	1			4147-4225-9961-9541	26	 17,967,427 	0	6
469	2021-10-04 12:36	1			4147-4225-9961-9541	48	 49,300 	0	0
470	2021-10-04 16:31	1			4147-4225-9961-9541	81	 2,898,810 	0	4
471	2021-10-04 20:32	1			4147-4225-9961-9541	81	 2,870,910 	2	12
472	2021-10-04 20:49	1			4147-4225-9961-9541	40	 1,251,693 	0	0
473	2021-10-04 21:05	2	322-2832-1821-42	352-1194-2322-33			 150,000 	1	1
